[TRACE] 23:02:15:139 nivel1/(10004:10005): Deadlock check started.
[TRACE] 23:02:22:975 nivel1/(10004:10004): Acepto Personaje: en Socket: 6
[TRACE] 23:02:22:975 nivel1/(10004:10004): Pedido posicion recurso: F
[TRACE] 23:02:23:76 nivel1/(10004:10004): Personaje a mover @, posicionX 2 posicionY 1
[TRACE] 23:02:23:76 nivel1/(10004:10004): Movimiento personaje: x: 2, y: 1

[TRACE] 23:02:23:176 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 1
[TRACE] 23:02:23:176 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 1

[TRACE] 23:02:23:277 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 2
[TRACE] 23:02:23:277 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 2

[TRACE] 23:02:23:879 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 3
[TRACE] 23:02:23:879 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 3

[TRACE] 23:02:23:879 nivel1/(10004:10004): Recurso a asignar F
[TRACE] 23:02:24:380 nivel1/(10004:10004): Pedido posicion recurso: H
[TRACE] 23:02:24:480 nivel1/(10004:10004): Personaje a mover @, posicionX 4 posicionY 3
[TRACE] 23:02:24:480 nivel1/(10004:10004): Movimiento personaje: x: 4, y: 3

[TRACE] 23:02:24:581 nivel1/(10004:10004): Personaje a mover @, posicionX 5 posicionY 3
[TRACE] 23:02:24:582 nivel1/(10004:10004): Movimiento personaje: x: 5, y: 3

[TRACE] 23:02:24:682 nivel1/(10004:10004): Personaje a mover @, posicionX 6 posicionY 3
[TRACE] 23:02:24:682 nivel1/(10004:10004): Movimiento personaje: x: 6, y: 3

[TRACE] 23:02:25:139 nivel1/(10004:10005): Deadlock check started.
[TRACE] 23:02:25:483 nivel1/(10004:10004): Personaje a mover @, posicionX 7 posicionY 3
[TRACE] 23:02:25:483 nivel1/(10004:10004): Movimiento personaje: x: 7, y: 3

[TRACE] 23:02:25:584 nivel1/(10004:10004): Personaje a mover @, posicionX 8 posicionY 3
[TRACE] 23:02:25:584 nivel1/(10004:10004): Movimiento personaje: x: 8, y: 3

[TRACE] 23:02:25:685 nivel1/(10004:10004): Personaje a mover @, posicionX 9 posicionY 3
[TRACE] 23:02:25:686 nivel1/(10004:10004): Movimiento personaje: x: 9, y: 3

[TRACE] 23:02:26:883 nivel1/(10004:10004): Acepto Personaje: en Socket: 7
[TRACE] 23:02:26:984 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 3
[TRACE] 23:02:26:984 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 3

[TRACE] 23:02:27:86 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 4
[TRACE] 23:02:27:86 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 4

[TRACE] 23:02:27:188 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 5
[TRACE] 23:02:27:188 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 5

[TRACE] 23:02:27:884 nivel1/(10004:10004): Pedido posicion recurso: H
[TRACE] 23:02:27:986 nivel1/(10004:10004): Personaje a mover $, posicionX 2 posicionY 1
[TRACE] 23:02:27:986 nivel1/(10004:10004): Movimiento personaje: x: 2, y: 1

[TRACE] 23:02:28:88 nivel1/(10004:10004): Personaje a mover $, posicionX 3 posicionY 1
[TRACE] 23:02:28:88 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 1

[TRACE] 23:02:28:189 nivel1/(10004:10004): Personaje a mover $, posicionX 4 posicionY 1
[TRACE] 23:02:28:189 nivel1/(10004:10004): Movimiento personaje: x: 4, y: 1

[TRACE] 23:02:29:490 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 6
[TRACE] 23:02:29:490 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 6

[TRACE] 23:02:29:591 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 7
[TRACE] 23:02:29:591 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 7

[TRACE] 23:02:29:692 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 8
[TRACE] 23:02:29:692 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 8

[TRACE] 23:02:30:995 nivel1/(10004:10004): Personaje a mover $, posicionX 5 posicionY 1
[TRACE] 23:02:30:995 nivel1/(10004:10004): Movimiento personaje: x: 5, y: 1

[TRACE] 23:02:31:96 nivel1/(10004:10004): Personaje a mover $, posicionX 6 posicionY 1
[TRACE] 23:02:31:96 nivel1/(10004:10004): Movimiento personaje: x: 6, y: 1

[TRACE] 23:02:31:197 nivel1/(10004:10004): Personaje a mover $, posicionX 7 posicionY 1
[TRACE] 23:02:31:197 nivel1/(10004:10004): Movimiento personaje: x: 7, y: 1

[TRACE] 23:02:32:496 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 9
[TRACE] 23:02:32:496 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 9

[TRACE] 23:02:32:597 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 10
[TRACE] 23:02:32:597 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 10

[TRACE] 23:02:32:598 nivel1/(10004:10004): Recurso a asignar H
[TRACE] 23:02:33:996 nivel1/(10004:10004): Personaje a mover $, posicionX 8 posicionY 1
[TRACE] 23:02:33:996 nivel1/(10004:10004): Movimiento personaje: x: 8, y: 1

[TRACE] 23:02:34:99 nivel1/(10004:10004): Personaje a mover $, posicionX 9 posicionY 1
[TRACE] 23:02:34:99 nivel1/(10004:10004): Movimiento personaje: x: 9, y: 1

[TRACE] 23:02:34:200 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 1
[TRACE] 23:02:34:200 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 1

[TRACE] 23:02:35:139 nivel1/(10004:10005): Deadlock check started.
[TRACE] 23:02:35:400 nivel1/(10004:10004): Pedido posicion recurso: M
[TRACE] 23:02:35:501 nivel1/(10004:10004): Personaje a mover @, posicionX 9 posicionY 10
[TRACE] 23:02:35:501 nivel1/(10004:10004): Movimiento personaje: x: 9, y: 10

[TRACE] 23:02:35:602 nivel1/(10004:10004): Personaje a mover @, posicionX 8 posicionY 10
[TRACE] 23:02:35:602 nivel1/(10004:10004): Movimiento personaje: x: 8, y: 10

[TRACE] 23:02:35:702 nivel1/(10004:10004): Personaje a mover @, posicionX 7 posicionY 10
[TRACE] 23:02:35:703 nivel1/(10004:10004): Movimiento personaje: x: 7, y: 10

[TRACE] 23:02:37:5 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 2
[TRACE] 23:02:37:5 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 2

[TRACE] 23:02:37:107 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 3
[TRACE] 23:02:37:107 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 3

[TRACE] 23:02:37:209 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 4
[TRACE] 23:02:37:209 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 4

[TRACE] 23:02:38:507 nivel1/(10004:10004): Personaje a mover @, posicionX 6 posicionY 10
[TRACE] 23:02:38:507 nivel1/(10004:10004): Movimiento personaje: x: 6, y: 10

[TRACE] 23:02:38:609 nivel1/(10004:10004): Personaje a mover @, posicionX 5 posicionY 10
[TRACE] 23:02:38:609 nivel1/(10004:10004): Movimiento personaje: x: 5, y: 10

[TRACE] 23:02:38:710 nivel1/(10004:10004): Personaje a mover @, posicionX 4 posicionY 10
[TRACE] 23:02:38:710 nivel1/(10004:10004): Movimiento personaje: x: 4, y: 10

[TRACE] 23:02:40:9 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 5
[TRACE] 23:02:40:9 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 5

[TRACE] 23:02:40:110 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 6
[TRACE] 23:02:40:110 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 6

[TRACE] 23:02:40:211 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 7
[TRACE] 23:02:40:211 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 7

[TRACE] 23:02:41:511 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 10
[TRACE] 23:02:41:511 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 10

[TRACE] 23:02:41:613 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 11
[TRACE] 23:02:41:613 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 11

[TRACE] 23:02:41:714 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 12
[TRACE] 23:02:41:715 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 12

[TRACE] 23:02:43:14 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 8
[TRACE] 23:02:43:14 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 8

[TRACE] 23:02:43:116 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 9
[TRACE] 23:02:43:116 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 9

[TRACE] 23:02:43:219 nivel1/(10004:10004): Personaje a mover $, posicionX 10 posicionY 10
[TRACE] 23:02:43:219 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 10

[TRACE] 23:02:44:516 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 13
[TRACE] 23:02:44:516 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 13

[TRACE] 23:02:44:619 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 14
[TRACE] 23:02:44:619 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 14

[TRACE] 23:02:44:721 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 15
[TRACE] 23:02:44:721 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 15

[TRACE] 23:02:45:140 nivel1/(10004:10005): Deadlock check started.
[TRACE] 23:02:45:920 nivel1/(10004:10004): Recurso a asignar H
[TRACE] 23:02:47:522 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 16
[TRACE] 23:02:47:522 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 16

[TRACE] 23:02:47:622 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 17
[TRACE] 23:02:47:622 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 17

[TRACE] 23:02:47:723 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 18
[TRACE] 23:02:47:723 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 18

[TRACE] 23:02:48:923 nivel1/(10004:10004): Pedido posicion recurso: V
[TRACE] 23:02:49:25 nivel1/(10004:10004): Personaje a mover $, posicionX 11 posicionY 10
[TRACE] 23:02:49:25 nivel1/(10004:10004): Movimiento personaje: x: 11, y: 10

[TRACE] 23:02:49:126 nivel1/(10004:10004): Personaje a mover $, posicionX 12 posicionY 10
[TRACE] 23:02:49:126 nivel1/(10004:10004): Movimiento personaje: x: 12, y: 10

[TRACE] 23:02:49:226 nivel1/(10004:10004): Personaje a mover $, posicionX 13 posicionY 10
[TRACE] 23:02:49:226 nivel1/(10004:10004): Movimiento personaje: x: 13, y: 10

[TRACE] 23:02:50:526 nivel1/(10004:10004): Personaje a mover @, posicionX 3 posicionY 19
[TRACE] 23:02:50:526 nivel1/(10004:10004): Movimiento personaje: x: 3, y: 19

[TRACE] 23:02:50:526 nivel1/(10004:10004): Recurso a asignar M
[TRACE] 23:02:52:28 nivel1/(10004:10004): Personaje a mover $, posicionX 14 posicionY 10
[TRACE] 23:02:52:28 nivel1/(10004:10004): Movimiento personaje: x: 14, y: 10

[TRACE] 23:02:52:129 nivel1/(10004:10004): Personaje a mover $, posicionX 15 posicionY 10
[TRACE] 23:02:52:129 nivel1/(10004:10004): Movimiento personaje: x: 15, y: 10

[TRACE] 23:02:52:229 nivel1/(10004:10004): Personaje a mover $, posicionX 16 posicionY 10
[TRACE] 23:02:52:229 nivel1/(10004:10004): Movimiento personaje: x: 16, y: 10

[TRACE] 23:02:53:432 nivel1/(10004:10004): Pedido posicion recurso: H
[TRACE] 23:02:53:533 nivel1/(10004:10004): Personaje a mover @, posicionX 4 posicionY 19
[TRACE] 23:02:53:533 nivel1/(10004:10004): Movimiento personaje: x: 4, y: 19

[TRACE] 23:02:53:634 nivel1/(10004:10004): Personaje a mover @, posicionX 5 posicionY 19
[TRACE] 23:02:53:634 nivel1/(10004:10004): Movimiento personaje: x: 5, y: 19

[TRACE] 23:02:53:736 nivel1/(10004:10004): Personaje a mover @, posicionX 6 posicionY 19
[TRACE] 23:02:53:736 nivel1/(10004:10004): Movimiento personaje: x: 6, y: 19

[TRACE] 23:02:55:34 nivel1/(10004:10004): Personaje a mover $, posicionX 17 posicionY 10
[TRACE] 23:02:55:34 nivel1/(10004:10004): Movimiento personaje: x: 17, y: 10

[TRACE] 23:02:55:135 nivel1/(10004:10004): Personaje a mover $, posicionX 17 posicionY 9
[TRACE] 23:02:55:135 nivel1/(10004:10004): Movimiento personaje: x: 17, y: 9

[TRACE] 23:02:55:142 nivel1/(10004:10005): Deadlock check started.
[TRACE] 23:02:55:237 nivel1/(10004:10004): Personaje a mover $, posicionX 17 posicionY 8
[TRACE] 23:02:55:237 nivel1/(10004:10004): Movimiento personaje: x: 17, y: 8

[TRACE] 23:02:56:538 nivel1/(10004:10004): Personaje a mover @, posicionX 7 posicionY 19
[TRACE] 23:02:56:538 nivel1/(10004:10004): Movimiento personaje: x: 7, y: 19

[TRACE] 23:02:56:640 nivel1/(10004:10004): Personaje a mover @, posicionX 8 posicionY 19
[TRACE] 23:02:56:640 nivel1/(10004:10004): Movimiento personaje: x: 8, y: 19

[TRACE] 23:02:56:744 nivel1/(10004:10004): Personaje a mover @, posicionX 9 posicionY 19
[TRACE] 23:02:56:744 nivel1/(10004:10004): Movimiento personaje: x: 9, y: 19

[TRACE] 23:02:58:41 nivel1/(10004:10004): Personaje a mover $, posicionX 17 posicionY 7
[TRACE] 23:02:58:41 nivel1/(10004:10004): Movimiento personaje: x: 17, y: 7

[TRACE] 23:02:58:142 nivel1/(10004:10004): Personaje a mover $, posicionX 17 posicionY 6
[TRACE] 23:02:58:142 nivel1/(10004:10004): Movimiento personaje: x: 17, y: 6

[TRACE] 23:02:58:244 nivel1/(10004:10004): Personaje a mover $, posicionX 17 posicionY 5
[TRACE] 23:02:58:244 nivel1/(10004:10004): Movimiento personaje: x: 17, y: 5

[TRACE] 23:02:59:543 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 19
[TRACE] 23:02:59:543 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 19

[TRACE] 23:02:59:644 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 18
[TRACE] 23:02:59:644 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 18

[TRACE] 23:02:59:746 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 17
[TRACE] 23:02:59:746 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 17

[TRACE] 23:03:00:946 nivel1/(10004:10004): Recurso a asignar V
[TRACE] 23:03:02:550 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 16
[TRACE] 23:03:02:550 nivel1/(10004:10004): Movimiento personaje: x: 10, y: 16

[TRACE] 23:03:02:651 nivel1/(10004:10004): Personaje a mover @, posicionX 10 posicionY 15
